editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
BeneBot*,4355,1.0,1.0,2.0,1.0,889,0.17819485449177563,1,"{'Cycn': 1, 'Pütz M.': 1}",0.9838695982525976,1.0,0.8747218147731318,1.1929295706512866,1,very_high
Lymantria,707,1.0,1.0,0.0606405106140011,1.0,353,0.20360024829298573,1,"{'Cycn': 1, 'Pütz M.': 1}",0.7513011783950898,0.3963963963963964,1.0,0.7393328006821944,2,very_high
분당선M,632,1.0,1.0,0.016658640611005054,1.0,281,0.15632754342431762,1,"{'Cycn': 1, 'Pütz M.': 1}",0.7369679537125648,0.3153153153153153,0.7668904988030538,0.7100561822795135,3,very_high
Ymblanter,640,1.0,1.0,0.008253242709491817,1.0,280,0.15626930203829525,1,"{'Cycn': 1, 'Pütz M.': 1}",0.7385755768685804,0.3141891891891892,0.7666033009267653,0.7083285113505845,4,very_high
Jura1,498,1.0,1.0,0.030360450944068067,1.0,217,0.13219895287958114,1,"{'Cycn': 1, 'Pütz M.': 1}",0.7065200565688606,0.24324324324324326,0.6479084409306513,0.6981178393881134,5,very_high
Matěj Suchánek,367,1.0,1.0,0.022331127344484062,1.0,200,0.12526389866291343,1,"{'Cycn': 1, 'Pütz M.': 1}",0.6675394749887349,0.22409909909909909,0.6137105452588791,0.6909386363911874,6,high
Delusion23,417,1.0,1.0,0.012384177742362045,1.0,200,0.12329700272479564,1,"{'Cycn': 1, 'Pütz M.': 1}",0.6838471589161078,0.22409909909909909,0.6040114571209201,0.6892796762602338,7,high
Ajraddatz,286,1.0,1.0,0.004937592842117812,1.0,165,0.10722100656455143,1,"{'Cycn': 1, 'Pütz M.': 1}",0.6357172621308302,0.18468468468468469,0.5247380697281386,0.6774787536298406,8,high
The Anonymouse,256,1.0,1.0,0.014517095498559233,1.0,159,0.10385756676557864,1,"{'Cycn': 1, 'Pütz M.': 1}",0.6215846909816602,0.17792792792792791,0.5081523935747911,0.6771830661203272,9,high
Sjoerddebruin,201,1.0,1.0,0.011568892576865821,1.0,126,0.08642911296436695,1,"{'Cycn': 1, 'Pütz M.': 1}",0.590759938380232,0.14076576576576577,0.42220981458504475,0.6670388427402135,10,high
Jianhui67,146,1.0,1.0,0.0009588130012690057,1.0,108,0.07237354085603113,1,"{'Cycn': 1, 'Pütz M.': 1}",0.5500753561074129,0.1204954954954955,0.3528994712840949,0.6573900535193786,11,medium
Andre Engels,97,1.0,1.0,0.0165955040493673,1.0,86,0.05392545598731166,1,"{'Cycn': 1, 'Pütz M.': 1}",0.49817366872845426,0.09572072072072071,0.26192892340168655,0.6508963024884526,12,medium
Succu,115,1.0,1.0,0.006263852789067414,1.0,88,0.05647058823529412,1,"{'Cycn': 1, 'Pütz M.': 1}",0.5197582715236715,0.09797297297297297,0.2744793901129892,0.6507619509369438,13,medium
Taketa,111,1.0,1.0,0.005089748034139233,1.0,82,0.05914826498422713,1,"{'Cycn': 1, 'Pütz M.': 1}",0.5152663962077966,0.09121621621621621,0.28768345561007785,0.6502870638193432,14,medium
Rippitippi,65,1.0,1.0,0.004274462868643011,1.0,64,0.03926282051282051,1,"{'Cycn': 1, 'Pütz M.': 1}",0.4475715388190372,0.07094594594594594,0.18962505056032736,0.6398093166372915,15,medium
Epìdosis,51,1.0,1.0,0.032278076946606074,1.0,49,0.028869286287089013,1,"{'Cycn': 1, 'Pütz M.': 1}",0.4170536615489691,0.05405405405405406,0.13837281979069593,0.6396323448617098,16,medium
Ermanon,48,1.0,1.0,0.012849270674674944,1.0,37,0.022364217252396165,1,"{'Cycn': 1, 'Pütz M.': 1}",0.409447148113931,0.04054054054054054,0.10629525193961237,0.6324110281916662,17,medium
Holger1959,49,1.0,1.0,0.00361133289516821,1.0,42,0.026442307692307692,1,"{'Cycn': 1, 'Pütz M.': 1}",0.4120332019529281,0.04617117117117117,0.12640498822241786,0.632261293204918,18,medium
Ary29,42,1.0,1.0,0.011568892576865821,1.0,39,0.024115755627009645,1,"{'Cycn': 1, 'Pütz M.': 1}",0.39272707100341303,0.04279279279279279,0.11493237642757614,0.631976030166202,19,medium
Magnus Manske,39,1.0,1.0,0.012895152523815425,1.0,37,0.025,1,"{'Cycn': 1, 'Pütz M.': 1}",0.3834696422055104,0.04054054054054054,0.11929273120940304,0.6317712032295628,20,medium
Josve05a,39,1.0,1.0,0.004274462868643011,1.0,39,0.024174053182917002,1,"{'Cycn': 1, 'Pütz M.': 1}",0.3834696422055104,0.04279279279279279,0.1152198512868278,0.6300686465276247,21,lower
Ultratomio,32,1.0,1.0,0.007885795763811222,1.0,37,0.022653721682847898,1,"{'Cycn': 1, 'Pütz M.': 1}",0.3588450182045141,0.04054054054054054,0.1077228460145526,0.6289596064177696,22,lower
संजीव कुमार,33,1.0,1.0,0.008333633983626847,1.0,34,0.021809369951534735,1,"{'Cycn': 1, 'Pütz M.': 1}",0.3626663560452957,0.037162162162162164,0.10355920842563089,0.6286942212364879,23,lower
Calak,31,1.0,1.0,0.016684522679750968,1.0,26,0.01527331189710611,1,"{'Cycn': 1, 'Pütz M.': 1}",0.3549060824580927,0.028153153153153154,0.07132882860930735,0.6274639654046356,24,lower
Marcol-it,28,1.0,1.0,0.0052332758699120165,1.0,33,0.018593371059013743,1,"{'Cycn': 1, 'Pütz M.': 1}",0.3423052302946251,0.036036036036036036,0.08770058768945252,0.6261505496767898,25,lower
